# Input_value Speed
0.0625 2.0000
0.0611 2.0000
0.0610 1.996
0.0608 1.990
0.0606 1.984
0.0604 1.977
0.0602 1.971
0.0600 1.965
0.0550 1.806
0.0500 1.645
0.0450 1.475
0.0400 1.313
0.0350 1.146
0.0300 0.9830
0.0250 0.8200
0.0200 0.6550
0.0150 0.4910
0.0100 0.3280
0.0050 0.1636
0.0000 0.0000
