# Input_value Speed
0.0350 1.0000
0.0200 1.0000
0.0160 1.0000
0.0155 1.0000
0.0154 1.0000
0.0153 1.0000
0.0152 0.9950
0.0151 0.9885
0.0150 0.9821
0.0140 0.9175
0.0130 0.8528
0.0120 0.7880
0.0110 0.7231
0.0100 0.6580
0.0090 0.5928
0.0080 0.5275
0.0070 0.4620
0.0060 0.3964
0.0050 0.3306
0.0040 0.2648
0.0030 0.1987
0.0020 0.1326
0.0010 0.0663
0.0000 0.0000
