# Input_value Speed
0.0625 1.0000
0.0306 1.0000
0.0305 0.9980
0.0304 0.9950
0.0303 0.9920
0.0302 0.9885
0.0301 0.9855
0.0300 0.9821
0.0275 0.9000
0.0250 0.8175
0.0225 0.7360
0.0200 0.6540
0.0175 0.5730
0.0150 0.4910
0.0125 0.4090
0.0100 0.3265
0.0075 0.2455
0.0050 0.1634
0.0025 0.0816
0.0000 0.0000
